#{"t_start": 1788592621.5564365, "env_id": "None"}
r,l,t
6.27641,42,9.448953
-7.398349,37,9.466532
5.975194,52,9.486614
5.941455,51,9.576615
5.068157,55,9.592212
-7.160709,49,9.61058
-6.950587,21,9.614308
-12.966168,8,9.619583
6.320419,43,9.630419
5.526761,55,9.647301
5.982752,40,9.663468
6.215585,33,9.674943
-6.409286,41,9.696198
6.279875,44,9.708012
6.175984,34,9.718618
-6.90928,51,9.743727
-7.619429,51,9.825946
5.787193,56,9.843927
-6.346291,24,9.851953
-6.944586,49,9.866351
-8.440424,57,9.881061
-7.328799,23,9.886976
-8.25442,27,9.904036
6.022254,42,9.927586
6.308145,30,9.948149
-7.449496,39,9.968674
5.91877,53,9.989197
-9.778121,18,9.989197
5.724432,55,10.00993
-8.28703,23,10.020433
-8.619264,36,10.143506
6.295569,47,10.173715
6.204823,50,10.198485
6.4207,39,10.204498
6.145123,33,10.223388
-7.35532,67,10.25546
-6.971027,33,10.279318
-7.955403,62,10.301276
-8.861005,30,10.31683
-7.419408,61,10.345354
5.936684,44,10.366814
-8.524244,10,10.374448
4.894635,71,10.471883
-6.583626,29,10.48036
-6.643114,32,10.490613
-7.497156,32,10.500921
-8.411361,50,10.523582
5.989697,46,10.531626
6.388157,45,10.545313
-6.041459,23,10.551369
6.623471,37,10.566745
-6.568291,44,10.586756
-6.807955,34,10.596913
6.723006,26,10.606202
5.437662,54,10.698071
6.05861,56,10.719226
5.037648,56,10.737792
-10.431385,36,10.754564
5.798383,60,10.779065
5.06832,60,10.8012
-7.822177,34,10.813529
5.918991,52,10.831082
5.833668,58,10.862306
-6.999928,29,10.872671
6.659468,38,10.882758
6.219121,44,10.978883
6.543187,37,10.996532
-6.896625,33,11.004558
5.337579,68,11.034251
-8.038787,61,11.045276
6.672774,34,11.063422
5.804938,61,11.08592
6.018607,48,11.096126
-6.978557,55,11.120538
-8.576373,17,11.128514
-7.175598,49,11.157097
-6.94674,49,11.255567
5.916294,50,11.273142
5.547396,68,11.322087
-8.151683,66,11.363224
5.129542,61,11.390947
5.863523,47,11.415021
5.855983,56,11.448591
5.681837,56,11.476007
5.61955,54,11.496437
6.199049,47,11.609347
5.687146,49,11.630332
5.572762,61,11.640535
5.557649,59,11.661459
6.533663,25,11.671817
-14.84495,5,11.671817
6.383353,45,11.692729
-9.307741,38,11.70321
5.424272,74,11.740494
-6.638299,45,11.754546
-8.055772,65,11.775462
5.843457,45,11.900616
-7.186797,27,11.908642
5.877033,57,11.932944
5.917348,31,11.94949
-7.603033,34,11.959525
6.329346,47,11.980457
6.307642,36,11.990531
-7.084863,42,12.013875
-6.167418,22,12.021056
7.209672,18,12.031101
-10.072439,12,12.041219
-7.233733,34,12.05756
6.718748,20,12.061733
4.664854,71,12.087432
6.324083,30,12.093243
6.028514,51,12.190445
6.074902,51,12.206882
5.380767,65,12.237841
5.8367,52,12.25451
5.788768,37,12.275389
-7.948711,72,12.299877
6.526778,36,12.326515
-10.414461,26,12.336003
5.594305,63,12.351313
5.182802,55,12.372156
-6.928227,48,12.475836
5.286029,63,12.498527
6.060473,27,12.506575
6.281241,39,12.516712
5.973418,46,12.537696
-6.957703,28,12.548239
-8.255656,46,12.558666
-7.293141,27,12.569937
6.285428,49,12.590078
6.244769,49,12.610257
-6.431254,34,12.622506
5.506585,65,12.651195
5.27453,70,12.778629
5.361774,71,12.806611
-6.813781,36,12.819264
5.755376,57,12.847666
-6.535735,41,12.857766
6.610147,39,12.878654
5.837772,46,12.893074
5.569458,59,12.909336
5.574045,45,12.91963
5.851407,56,12.940734
6.057644,54,13.044354
-6.890379,53,13.065063
6.221097,46,13.075536
5.105521,53,13.09585
-6.819536,45,13.106389
5.613785,46,13.117805
-6.821324,45,13.138868
5.313574,67,13.158329
-6.749337,45,13.168739
-7.014202,50,13.199317
5.679343,45,13.292944
-7.434459,57,13.32094
-8.431068,61,13.346239
6.340145,26,13.355936
5.731495,50,13.37441
5.622933,57,13.4047
6.477625,26,13.410852
5.401705,63,13.452003
-9.108332,32,13.464482
-7.029469,51,13.490998
6.172664,47,13.503448
5.135897,57,13.617155
-9.466898,62,13.658027
5.084111,59,13.679716
-7.404552,51,13.699631
-6.191628,28,13.720026
6.474002,35,13.730385
-6.907692,52,13.748066
5.845485,45,13.761492
4.732326,89,13.792898
4.831918,64,13.885223
5.76454,46,13.896408
5.81837,52,13.914931
6.072618,28,13.92521
4.69801,66,13.948532
5.71165,57,13.968298
5.856293,54,13.991819
-7.875838,48,14.011274
5.25196,59,14.034867
6.462212,34,14.050771
6.237859,41,14.069092
6.118294,46,14.182749
-7.25858,63,14.214033
-8.462805,64,14.245247
6.034198,49,14.269514
-6.921842,18,14.274533
5.617344,55,14.29515
4.6947,68,14.315394
6.418004,31,14.330866
6.262719,47,14.357141
5.777573,60,14.388203
5.904442,59,14.494467
5.998017,43,14.509621
6.012747,47,14.514724
6.020137,53,14.542318
6.327969,45,14.556312
-7.388727,47,14.566574
5.990159,44,14.577737
5.426181,68,14.601815
5.653801,51,14.61741
6.08035,35,14.639425
5.875963,50,14.730177
5.087001,64,14.758268
5.615123,57,14.781739
-9.301142,56,14.814085
5.182689,56,14.839785
5.598826,58,14.853834
6.622959,36,14.874571
-6.951855,39,14.887313
-6.897583,46,14.894748
6.06118,47,14.915447
5.286864,74,15.018429
-6.267283,37,15.034684
5.842773,56,15.0586
5.266286,54,15.083444
-7.506999,57,15.10372
-6.320024,7,15.10372
5.839756,44,15.122652
6.219113,43,15.142589
-7.65266,49,15.160867
-6.531145,41,15.172975
5.864898,48,15.191934
-7.175457,26,15.191934
5.713547,51,15.305214
6.375056,38,15.317253
5.379721,57,15.346232
5.128564,59,15.376388
6.193585,46,15.399237
6.101525,48,15.428161
5.909694,52,15.447059
5.649022,46,15.457169
6.159896,50,15.483369
6.014065,53,15.504517
5.987329,49,15.60002
6.068571,44,15.631097
5.623286,55,15.661854
5.670001,59,15.682649
5.489627,48,15.703746
-8.008243,54,15.734174
6.501413,44,15.756532
-7.550864,59,15.775561
4.60425,69,15.802686
5.52457,64,15.926896
-7.091854,48,15.941133
6.13622,46,15.966327
-8.889259,47,15.996845
-6.876684,33,16.006892
6.164927,33,16.02859
5.701197,56,16.048544
6.018578,47,16.070547
5.947738,51,16.089779
